% Model:              Arbitrary_stst_paper.mph
% Version:            COMSOL 5.1.0.234
% Date:               Sep 6 2024, 14:34
% Dimension:          1
% Nodes:              51
% Expressions:        4
% Description:        Dependent variable u, Dependent variable v, Dependent variable u2, Dependent variable v2
% x                       u (1) @ t=1000           v (1) @ t=1000           u2 (1) @ t=1000          v2 (1) @ t=1000
0                         4.891638230407916        2.096926348483663        0.14652590883580593      99.98348092834506
0.19999999999999996       4.864598259417409        2.106526917927009        0.14565033652611398      99.9837918011917
0.3999999999999999        4.784366330004126        2.1350133467835977       0.1430666424732938       99.98470914441532
0.5999999999999999        4.653582107593424        2.1814484191357817       0.13889952413680115      99.98618868405498
0.7999999999999998        4.4765572296929665       2.244301283662627        0.13334299166919436      99.98816153660708
0.9999999999999998        4.2591230501309125       2.321501512204377        0.1266420773591803       99.99054070310612
1.1999999999999997        4.008387596733731        2.410525392188341        0.11907147876832477      99.99322865190113
1.3999999999999995        3.7323939559214057       2.508517217528881        0.11091414402252825      99.9961249219698
1.5999999999999994        3.439692202360717        2.612441275443218        0.10244235736788686      99.99913283851122
1.7999999999999994        3.138859983210643        2.719252063506977        0.09390304517016326      100.002164730066
1.9999999999999993        2.838024559334078        2.8260639894123276       0.08550806202516552      100.00514537744255
2.1999999999999993        2.5444445676150433       2.9302998666863482       0.07742936303022074      100.00801372780724
2.399999999999999         2.2642005966353023       3.029800776114487        0.06979836099258507      100.01072312290798
2.5999999999999988        2.0020229646236714       3.122887213356342        0.06270844664488803      100.01324040426941
2.799999999999999         1.761259797660719        3.208370422811827        0.0562195804357461       100.01554428287272
2.999999999999999         1.5439661702823995       3.285520748158393        0.050363971548621454     100.01762332281434
3.1999999999999993        1.3510808712353615       3.3540048714882573       0.04515206215807354      100.01947381658943
3.3999999999999995        1.1826528106167862       3.4138054272211162       0.04057826523213831      100.02109774787941
3.5999999999999996        1.0380825583598183       3.465135243617094        0.03662611734437109      100.0225009620408
3.8                       0.9163527520670888       3.508355536239057        0.033272680463932384     100.02369160324487
4                         0.8162308280971448       3.543903928072393        0.030492151473226044     100.02467883291509
4.2                       0.7364363030362095       3.57223505606683         0.028258718378799858     100.02547181562615
4.4                       0.6757714139039934       3.5937741871973357       0.026548745935074444     100.02607894309624
4.6000000000000005        0.6332180262827527       3.608882811133465        0.025342390067112003     100.02650726098456
4.800000000000001         0.6080056372875445       3.6178344957150044       0.024624738599382433     100.02676206387427
5.000000000000001         0.599655571423426        3.6207991951675234       0.024386562159454565     100.02684662866358
5.200000000000001         0.6080056372875461       3.6178344957150026       0.02462473859938231      100.02676206387427
5.400000000000001         0.6332180262827558       3.608882811133462        0.025342390067111784     100.02650726098454
5.600000000000001         0.6757714139039983       3.5937741871973308       0.026548745935074107     100.02607894309624
5.800000000000002         0.7364363030362162       3.5722350560668237       0.02825871837879953      100.02547181562615
6.000000000000002         0.8162308280971532       3.5439039280723854       0.030492151473225922     100.02467883291507
6.200000000000002         0.9163527520670992       3.5083555362390473       0.03327268046393275      100.02369160324486
6.400000000000002         1.038082558359831        3.465135243617082        0.03662611734437236      100.02250096204074
6.600000000000002         1.1826528106168017       3.413805427221103        0.04057826523214085      100.02109774787941
6.8000000000000025        1.351080871235379        3.354004871488242        0.04515206215807767      100.0194738165894
7.000000000000003         1.5439661702824197       3.2855207481583766       0.050363971548627706     100.01762332281432
7.200000000000003         1.7612597976607416       3.2083704228118077       0.056219580435755055     100.01554428287268
7.400000000000003         2.0020229646236958       3.122887213356322        0.06270844664490052      100.01324040426937
7.600000000000003         2.2642005966353302       3.0298007761144645       0.06979836099260185      100.01072312290792
7.800000000000003         2.544444567615073        2.9302998666863243       0.07742936303024289      100.00801372780715
8.000000000000004         2.83802455933411         2.8260639894123014       0.08550806202519406      100.0051453774425
8.200000000000005         3.138859983210679        2.7192520635069486       0.09390304517019885      100.00216473006594
8.400000000000004         3.4396922023607526       2.61244127544319         0.10244235736792978      99.99913283851116
8.600000000000005         3.7323939559214443       2.5085172175288513       0.11091414402257868      99.99612492196974
8.800000000000004         4.008387596733769        2.4105253921883114       0.11907147876838294      99.99322865190108
9.000000000000005         4.259123050130949        2.321501512204346        0.12664207735924596      99.99054070310606
9.200000000000005         4.476557229693005        2.2443012836625957       0.13334299166926686      99.98816153660702
9.400000000000006         4.653582107593462        2.18144841913575         0.13889952413687945      99.98618868405492
9.600000000000005         4.78436633000416         2.1350133467835666       0.143066642473376        99.98470914441522
9.800000000000006         4.864598259417444        2.1065269179269785       0.14565033652619894      99.98379180119163
10                        4.891638230407948        2.0969263484836334       0.14652590883589203      99.98348092834496
