% Model:              Arbitrary_stst_amplitude_size_paper.mph
% Version:            COMSOL 6.1.0.357
% Date:               Sep 9 2024, 16:19
% Dimension:          1
% Nodes:              51
% Expressions:        8
% Description:        Dependent variable u, Dependent variable v
% x                       u (1) @ t=1000, u0=0.1   v (1) @ t=1000, u0=0.1   u (1) @ t=1000, u0=1     v (1) @ t=1000, u0=1     u (1) @ t=1000, u0=10    v (1) @ t=1000, u0=10    u (1) @ t=1000, u0=100   v (1) @ t=1000, u0=100
0                         0.1465259088356893       99.98348092834529        1.4659231651796152       99.83457350229547        14.725945075789674       98.32204835333653        154.3614008003636        80.69892888616351
0.19999999999999996       0.145650336525995        99.98379180119193        1.457163965561093        99.83768346510453        14.63803950608272        98.35325931602766        153.49052328070212       81.00813484279728
0.3999999999999999        0.1430666424731687       99.98470914441555        1.431315958086632        99.84686082667119        14.378550624706586       98.44539110952361        150.90891857323967       81.92473624218974
0.5999999999999999        0.13889952413666706      99.98618868405522        1.3896244247472178       99.86166344834727        13.959749679049827       98.59408681485225        146.70836364195407       83.41614757914296
0.7999999999999998        0.13334299166904862      99.9881615366073         1.3340273013807087       99.88140326402572        13.400781258636004       98.79254912586622        141.03735297205566       85.429645734369
0.9999999999999998        0.12664207735902167      99.99054070310635        1.2669730198298244       99.9052109554694         12.725919546011664       99.03215946915378        134.09409898613436       87.89485518391649
1.1999999999999997        0.11907147876815298      99.99322865190136        1.191207615489648        99.93211153999461        11.962510449587375       99.30320865188447        126.11642775693406       90.72733553671442
1.3999999999999995        0.11091414402234336      99.99612492197004        1.1095609958261676       99.96110025605282        11.138878945791449       99.59563986212392        117.3688159558444        93.83318407930639
1.5999999999999994        0.10244235736768977      99.99913283851144        1.0247578669525483       99.9912096939438         10.282447549346307       99.89971670789203        108.12738035203809       97.11436526957867
1.7999999999999994        0.0939030451699553       100.00216473006621       0.9392705488050219       100.02156205393828       9.41824072755509         100.20655422640465       98.66418293043773        100.47428322072464
1.9999999999999993        0.08550806202494851      100.00514537744277       0.8552213836825739       100.05140379622608       8.567863143770849        100.508481659778         89.23253447396982        103.8229996794399
2.1999999999999993        0.07742936302999692      100.00801372780741       0.7743339349800411       100.08012296785591       7.748957699411373        100.79923487776689       80.0549242623957         107.08151959873308
2.399999999999999         0.06979836099235684      100.01072312290817       0.6979260832611315       100.1072516539819        6.975086921606421        101.07399849120257       71.31477032890882        110.18472021778298
2.5999999999999988        0.06270844664465759      100.0132404042696        0.6269348770181002       100.1324571545757        6.25594444503195         101.32933076515039       63.152507636628386       113.08273995888695
2.799999999999999         0.05621958043551505      100.01554428287292       0.5619622527314649       100.15552575147251       5.597790976269354        101.5630088293168        55.665816235644364       115.74089742006804
2.999999999999999         0.050363971548391034     100.01762332281453       0.5033317714903891       100.17634256397571       5.004015430515048        101.77382944588531       48.91322632689181        118.13841139344851
3.1999999999999993        0.04515206215784458      100.0194738165896        0.45114852028550645      100.1948702808415        4.475739495699027        101.96139435840584       42.92002846663697        120.26630244108497
3.3999999999999995        0.04057826523191161      100.02109774787958       0.4053566211413529       100.21112874160237       4.012405932414374        102.12590141530134       37.6853727051687         122.12487233849419
3.5999999999999996        0.036626117344147176     100.02250096204095       0.3657909254108624       100.22517658245488       3.612312486856509        102.26795500353118       33.18959540075243        123.72110268184345
3.8                       0.03327268046371147      100.02369160324503       0.3322212038224997       100.237095546538         3.2730714646788943       102.38840287642223       29.40107264071042        125.0662215737663
4                         0.030492151473008114     100.02467883291523       0.30438840049900323      100.24697761190674       2.9919886122707435       102.48820163148251       26.28217860368878        126.17358810072807
4.2                       0.02825871837858468      100.02547181562629       0.2820333302045465       100.25491480254486       2.766363994985223        102.56830988327779       23.794167762572098       127.05695890187319
4.4                       0.026548745934861652     100.02607894309638       0.2649186423634871       100.26099139001774       2.593722717151016        102.62960634605473       21.90097445706585        127.72913912688264
4.6000000000000005        0.025342390066901095     100.0265072609847        0.25284504644041145      100.26527813263439       2.4719855028750946       102.67282926885191       20.57202875508311        128.20098266149998
4.800000000000001         0.0246247385991728       100.02676206387441       0.24566277677490794      100.26782820484613       2.3995892352485253       102.69853363793115       19.784233997703655       128.48068999816573
5.000000000000001         0.02438656215924556      100.02684662866372       0.2432791392832332       100.26867451778251       2.3755662692816903       102.70706301663854       19.52325426859414        128.57335111867863
5.200000000000001         0.024624738599173253     100.0267620638744        0.24566277677490822      100.2678282048461        2.3995892352485266       102.69853363793112       19.784233997703662       128.48068999816573
5.400000000000001         0.025342390066902015     100.02650726098469       0.25284504644041206      100.26527813263438       2.4719855028750963       102.6728292688519        20.57202875508314        128.20098266149998
5.600000000000001         0.026548745934863012     100.02607894309635       0.26491864236348805      100.26099139001775       2.5937227171510187       102.62960634605473       21.90097445706589        127.72913912688259
5.800000000000002         0.02825871837858663      100.02547181562628       0.2820333302045479       100.25491480254489       2.7663639949852263       102.56830988327779       23.79416776257215        127.05695890187319
6.000000000000002         0.030492151473010987     100.0246788329152        0.3043884004990049       100.24697761190674       2.9919886122707484       102.48820163148251       26.28217860368885        126.17358810072801
6.200000000000002         0.03327268046371565      100.023691603245         0.3322212038225015       100.23709554653803       3.2730714646788996       102.38840287642223       29.4010726407105         125.06622157376623
6.400000000000002         0.036626117344153074     100.02250096204091       0.36579092541086455      100.2251765824549        3.6123124868565157       102.26795500353118       33.18959540075252        123.72110268184338
6.600000000000002         0.04057826523191967      100.02109774787957       0.4053566211413553       100.21112874160237       4.012405932414381        102.12590141530134       37.68537270516882        122.12487233849409
6.8000000000000025        0.04515206215785524      100.01947381658954       0.451148520285509        100.1948702808415        4.4757394956990355       101.96139435840584       42.920028466637106       120.26630244108487
7.000000000000003         0.050363971548405        100.01762332281447       0.5033317714903919       100.17634256397571       5.004015430515057        101.77382944588534       48.91322632689195        118.13841139344841
7.200000000000003         0.056219580435533406     100.01554428287285       0.5619622527314676       100.15552575147251       5.597790976269364        101.5630088293168        55.66581623564453        115.74089742006792
7.400000000000003         0.06270844664468146      100.01324040426951       0.626934877018103        100.13245715457572       6.25594444503196         101.32933076515036       63.15250763662857        113.08273995888688
7.600000000000003         0.06979836099238754      100.01072312290809       0.6979260832611343       100.1072516539819        6.975086921606432        101.07399849120257       71.31477032890903        110.18472021778284
7.800000000000003         0.0774293630300356       100.00801372780734       0.7743339349800435       100.0801229678559        7.748957699411388        100.79923487776692       80.05492426239594        107.08151959873292
8.000000000000004         0.08550806202499625      100.00514537744269       0.8552213836825756       100.05140379622608       8.567863143770861        100.508481659778         89.2325344739701         103.82299967943972
8.200000000000005         0.09390304517001323      100.00216473006614       0.9392705488050227       100.02156205393828       9.418240727555109        100.20655422640468       98.66418293043806        100.47428322072449
